pm25,pm_predicted,station,system:time_start
904.787,,Billings Lockwood,1.51198E+12
904.787,,Billings Lockwood,1.51198E+12
8.7595,,Billings Lockwood,1.51215E+12
8.7595,,Billings Lockwood,1.51215E+12
5.427,,Billings Lockwood,1.51224E+12
5.427,,Billings Lockwood,1.51224E+12
6.663,,Billings Lockwood,1.51232E+12
6.663,,Billings Lockwood,1.51232E+12
4.4035,,Billings Lockwood,1.51241E+12
4.4035,,Billings Lockwood,1.51241E+12
4.55,,Billings Lockwood,1.5125E+12
4.55,,Billings Lockwood,1.5125E+12
3.441,3.648021417,Billings Lockwood,1.51258E+12
3.441,3.648021417,Billings Lockwood,1.51258E+12
4.68,,Billings Lockwood,1.51267E+12
4.68,,Billings Lockwood,1.51267E+12
5.806,,Billings Lockwood,1.51276E+12
5.806,,Billings Lockwood,1.51276E+12
7.153,,Billings Lockwood,1.51284E+12
7.153,,Billings Lockwood,1.51284E+12
3.4385,,Billings Lockwood,1.51293E+12
3.4385,,Billings Lockwood,1.51293E+12
14.108,,Billings Lockwood,1.51302E+12
14.108,,Billings Lockwood,1.51302E+12
9.771,,Billings Lockwood,1.5131E+12
9.771,,Billings Lockwood,1.5131E+12
14.7465,,Billings Lockwood,1.51319E+12
14.7465,,Billings Lockwood,1.51319E+12
7.4055,7.02930125,Billings Lockwood,1.51327E+12
7.4055,7.02930125,Billings Lockwood,1.51327E+12
6.0545,,Billings Lockwood,1.51336E+12
6.0545,,Billings Lockwood,1.51336E+12
1.0115,,Billings Lockwood,1.51345E+12
1.0115,,Billings Lockwood,1.51345E+12
4.417,,Billings Lockwood,1.51353E+12
4.417,,Billings Lockwood,1.51353E+12
3.5695,,Billings Lockwood,1.51362E+12
3.5695,,Billings Lockwood,1.51362E+12
1.3915,,Billings Lockwood,1.51371E+12
1.3915,,Billings Lockwood,1.51371E+12
3.6805,,Billings Lockwood,1.51379E+12
3.6805,,Billings Lockwood,1.51379E+12
3.688,,Billings Lockwood,1.51397E+12
3.688,,Billings Lockwood,1.51397E+12
