system:index,pm25,pm_predicted,station,system:time_start,.geo
0_00000000000000005eb8,3.079,5.96741075,Bozeman,1402855200000,"{""type"":""Point"",""coordinates"":[-111.05632700000001,45.683774]}"
0_00000000000000005eb1,3.099,,Broadus,1402855200000,"{""type"":""Point"",""coordinates"":[-105.370283,45.44029500000001]}"
0_00000000000000005eab,8.0695,,Butte,1402855200000,"{""type"":""Point"",""coordinates"":[-112.501247,46.00260200000001]}"
0_00000000000000005ea9,6.711,,Flathead Valley,1402855200000,"{""type"":""Point"",""coordinates"":[-114.189259,48.363709]}"
0_00000000000000005ebc,6.454,,Frenchtown,1402855200000,"{""type"":""Point"",""coordinates"":[-114.22427300000001,47.012907]}"
0_00000000000000005ead,2.298,,Hamilton,1402855200000,"{""type"":""Point"",""coordinates"":[-114.158889,46.243621]}"
0_00000000000000005eaf,2.401,,Lewistown,1402855200000,"{""type"":""Point"",""coordinates"":[-109.45535300000002,47.04852300000001]}"
0_00000000000000005eb2,5.036,,Libby,1402855200000,"{""type"":""Point"",""coordinates"":[-115.55228,48.39167200000001]}"
0_00000000000000005eb4,0.9475,,Malta,1402855200000,"{""type"":""Point"",""coordinates"":[-107.862232,48.317521]}"
0_00000000000000005eba,2.0555000000000003,,Missoula,1402855200000,"{""type"":""Point"",""coordinates"":[-114.020582,46.842301]}"
0_00000000000000005ea7,2.406,,Seeley Lake,1402855200000,"{""type"":""Point"",""coordinates"":[-113.47616100000002,47.175632]}"
0_00000000000000005eb6,6.4615,,West Yellowstone,1402855200000,"{""type"":""Point"",""coordinates"":[-111.089618,44.657014]}"
